"","GEOID","county","hhincome","hhincome_log","pct_pov","pct_pov_log","pct_white","pop","review_count","review_count_log","avg_rating","avg_price","n"
"60","13067030349","Cobb County",95991,11.4721138870624,0.106856084002471,-2.14681215257931,0.655342804200124,3238,33.5,3.41109869531024,"3","1",2
"61","13067030352","Cobb County",168064,12.0321596375947,0.0843909675292566,-2.36030989336138,0.785197368421053,6080,21.6666666666667,2.50584028353434,"2","2",3
"62","13067030355","Cobb County",97689,11.489646602564,0.0858725761772853,-2.34473530068563,0.377839335180055,1805,100,4.61512051684126,"3","1",1
"63","13067030356","Cobb County",108256,11.5923464409471,0.068130515083111,-2.54937458035332,0.579314590601272,4873,423,6.04973345523196,"4","1",1
"64","13067030358","Cobb County",131658,11.7880388817462,0.0268513284341436,-3.30086361122334,0.687710437710438,3564,42.5,3.76470322891851,"2","1",2
"65","13067030359","Cobb County",175496,12.0754285093378,0.0627130197682345,-2.62123482150559,0.610315837309702,4401,49.5,3.82198097450126,"3","1",2
"66","13067030361","Cobb County",115255,11.6549891042337,0.0583976833976834,-2.6824163233821,0.712837837837838,4144,26,3.29583686600433,"2","1",1
"67","13067030362","Cobb County",119205,11.6886838646225,0.0443560721933313,-2.91219894776723,0.775243309002433,3288,40,3.71357206670431,"2","1",1
"68","13067030367","Cobb County",204583,12.2287779188157,0.0191458026509573,-3.53544436794422,0.7360088365243,2716,31,3.46573590279973,"2","1",1
"69","13067030369","Cobb County",212250,12.2655672173158,0.0112392783200237,-3.85190306058566,0.819407798299619,3411,20,3.04452243772342,"4","NaN",1
"70","13067030370","Cobb County",200735,12.2097907248986,0.0115295926210607,-3.83832688924049,0.78326125667769,3931,118,4.77912349311153,"4","1",1
"71","13067030405","Cobb County",68910,11.1407016906419,0.184505289359054,-1.63729592164531,0.403308084711702,6469,52,3.97029191355212,"2","1",1
"72","13067030408","Cobb County",109875,11.6071896433603,0.0528132550914739,-2.7675891594442,0.494366678047115,2929,15,2.77258872223978,"5","NaN",1
"73","13067030410","Cobb County",73894,11.2105222326704,0.104874776386404,-2.16391264489008,0.708900289984385,4483,43.6666666666667,3.47557856543356,"3","2",3
"74","13067030411","Cobb County",52120,10.8614958777622,0.138850574712644,-1.90481233050904,0.16,2175,97,4.58496747867057,"3","1",1
"75","13067030412","Cobb County",55491,10.9241563175902,0.22710543407664,-1.43925036725043,0.293732855032707,4739,18,2.94443897916644,"2","1",1
"76","13067030413","Cobb County",57917,10.9669388761106,0.183730947647449,-1.6412849503067,0.225089839921594,6122,31,3.46573590279973,"4","2",1
"77","13067030508","Cobb County",87788,11.3827940003205,0.131219245489338,-1.95744166371136,0.531926406926407,3696,2,1.03972077083992,"3","NaN",2
"78","13067030602","Cobb County",117292,11.6725070847946,0.046797385620915,-2.86826498211513,0.848205383848455,8024,125.25,4.41937983271947,"4","2",12
